gene_id	gRNA_group	pair_type
DMRTA1	safe.harbor_pre_46_gene	negative_control
IFNB1	safe.harbor_pre_46_gene	negative_control
IFNE	safe.harbor_pre_46_gene	negative_control
IFNWP19	safe.harbor_pre_46_gene	negative_control
p14.dialup	safe.harbor_pre_46_gene	negative_control
CDKN2B	safe.harbor_pre_47_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_47_gene	negative_control
p16.dialup	safe.harbor_pre_47_gene	negative_control
MTAP	safe.harbor_pre_47_gene	negative_control
DMRTA1	safe.harbor_pre_47_gene	negative_control
IFNB1	safe.harbor_pre_47_gene	negative_control
IFNE	safe.harbor_pre_47_gene	negative_control
IFNWP19	safe.harbor_pre_47_gene	negative_control
p14.dialup	safe.harbor_pre_47_gene	negative_control
CDKN2B	safe.harbor_pre_48_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_48_gene	negative_control
p16.dialup	safe.harbor_pre_48_gene	negative_control
MTAP	safe.harbor_pre_48_gene	negative_control
DMRTA1	safe.harbor_pre_48_gene	negative_control
IFNB1	safe.harbor_pre_48_gene	negative_control
IFNE	safe.harbor_pre_48_gene	negative_control
IFNWP19	safe.harbor_pre_48_gene	negative_control
p14.dialup	safe.harbor_pre_48_gene	negative_control
CDKN2B	safe.harbor_pre_49_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_49_gene	negative_control
p16.dialup	safe.harbor_pre_49_gene	negative_control
MTAP	safe.harbor_pre_49_gene	negative_control
DMRTA1	safe.harbor_pre_49_gene	negative_control
IFNB1	safe.harbor_pre_49_gene	negative_control
IFNE	safe.harbor_pre_49_gene	negative_control
IFNWP19	safe.harbor_pre_49_gene	negative_control
p14.dialup	safe.harbor_pre_49_gene	negative_control
CDKN2B	safe.harbor_pre_50_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_50_gene	negative_control
p16.dialup	safe.harbor_pre_50_gene	negative_control
MTAP	safe.harbor_pre_50_gene	negative_control
DMRTA1	safe.harbor_pre_50_gene	negative_control
IFNB1	safe.harbor_pre_50_gene	negative_control
IFNE	safe.harbor_pre_50_gene	negative_control
IFNWP19	safe.harbor_pre_50_gene	negative_control
p14.dialup	safe.harbor_pre_50_gene	negative_control
CDKN2B	safe.harbor_pre_51_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_51_gene	negative_control
p16.dialup	safe.harbor_pre_51_gene	negative_control
MTAP	safe.harbor_pre_51_gene	negative_control
DMRTA1	safe.harbor_pre_51_gene	negative_control
IFNB1	safe.harbor_pre_51_gene	negative_control
IFNE	safe.harbor_pre_51_gene	negative_control
IFNWP19	safe.harbor_pre_51_gene	negative_control
p14.dialup	safe.harbor_pre_51_gene	negative_control
CDKN2B	safe.harbor_pre_52_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_52_gene	negative_control
p16.dialup	safe.harbor_pre_52_gene	negative_control
MTAP	safe.harbor_pre_52_gene	negative_control
DMRTA1	safe.harbor_pre_52_gene	negative_control
IFNB1	safe.harbor_pre_52_gene	negative_control
IFNE	safe.harbor_pre_52_gene	negative_control
IFNWP19	safe.harbor_pre_52_gene	negative_control
p14.dialup	safe.harbor_pre_52_gene	negative_control
CDKN2B	safe.harbor_pre_53_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_53_gene	negative_control
p16.dialup	safe.harbor_pre_53_gene	negative_control
MTAP	safe.harbor_pre_53_gene	negative_control
DMRTA1	safe.harbor_pre_53_gene	negative_control
IFNB1	safe.harbor_pre_53_gene	negative_control
IFNE	safe.harbor_pre_53_gene	negative_control
IFNWP19	safe.harbor_pre_53_gene	negative_control
p14.dialup	safe.harbor_pre_53_gene	negative_control
CDKN2B	safe.harbor_pre_54_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_54_gene	negative_control
p16.dialup	safe.harbor_pre_54_gene	negative_control
MTAP	safe.harbor_pre_54_gene	negative_control
DMRTA1	safe.harbor_pre_54_gene	negative_control
IFNB1	safe.harbor_pre_54_gene	negative_control
IFNE	safe.harbor_pre_54_gene	negative_control
IFNWP19	safe.harbor_pre_54_gene	negative_control
p14.dialup	safe.harbor_pre_54_gene	negative_control
CDKN2B	safe.harbor_pre_55_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_55_gene	negative_control
p16.dialup	safe.harbor_pre_55_gene	negative_control
MTAP	safe.harbor_pre_55_gene	negative_control
DMRTA1	safe.harbor_pre_55_gene	negative_control
IFNB1	safe.harbor_pre_55_gene	negative_control
IFNE	safe.harbor_pre_55_gene	negative_control
IFNWP19	safe.harbor_pre_55_gene	negative_control
p14.dialup	safe.harbor_pre_55_gene	negative_control
CDKN2B	safe.harbor_pre_56_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_56_gene	negative_control
p16.dialup	safe.harbor_pre_56_gene	negative_control
MTAP	safe.harbor_pre_56_gene	negative_control
DMRTA1	safe.harbor_pre_56_gene	negative_control
IFNB1	safe.harbor_pre_56_gene	negative_control
IFNE	safe.harbor_pre_56_gene	negative_control
IFNWP19	safe.harbor_pre_56_gene	negative_control
p14.dialup	safe.harbor_pre_56_gene	negative_control
CDKN2B	safe.harbor_pre_57_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_57_gene	negative_control
p16.dialup	safe.harbor_pre_57_gene	negative_control
MTAP	safe.harbor_pre_57_gene	negative_control
DMRTA1	safe.harbor_pre_57_gene	negative_control
IFNB1	safe.harbor_pre_57_gene	negative_control
IFNE	safe.harbor_pre_57_gene	negative_control
IFNWP19	safe.harbor_pre_57_gene	negative_control
p14.dialup	safe.harbor_pre_57_gene	negative_control
CDKN2B	safe.harbor_pre_58_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_58_gene	negative_control
p16.dialup	safe.harbor_pre_58_gene	negative_control
MTAP	safe.harbor_pre_58_gene	negative_control
