response_id	grna_group
CDKN2B	sgRNA_21950432.21950893_21950844_gene
p16.dialup	sgRNA_21950432.21950893_21950844_gene
p14.dialup	sgRNA_21950432.21950893_21950844_gene
CDKN2B	sgRNA_21952893.21953162_21952906_gene
p16.dialup	sgRNA_21952893.21953162_21952906_gene
p14.dialup	sgRNA_21952893.21953162_21952906_gene
CDKN2B	sgRNA_21952893.21953162_21952926_gene
p16.dialup	sgRNA_21952893.21953162_21952926_gene
p14.dialup	sgRNA_21952893.21953162_21952926_gene
CDKN2B	sgRNA_21952893.21953162_21952994_gene
p16.dialup	sgRNA_21952893.21953162_21952994_gene
p14.dialup	sgRNA_21952893.21953162_21952994_gene
CDKN2B	sgRNA_21952893.21953162_21953134_gene
p16.dialup	sgRNA_21952893.21953162_21953134_gene
p14.dialup	sgRNA_21952893.21953162_21953134_gene
CDKN2B	sgRNA_21955669.21956088_21955714_gene
p16.dialup	sgRNA_21955669.21956088_21955714_gene
p14.dialup	sgRNA_21955669.21956088_21955714_gene
CDKN2B	sgRNA_21955669.21956088_21955895_gene
p16.dialup	sgRNA_21955669.21956088_21955895_gene
p14.dialup	sgRNA_21955669.21956088_21955895_gene
CDKN2B	sgRNA_21955669.21956088_21955900_gene
p16.dialup	sgRNA_21955669.21956088_21955900_gene
p14.dialup	sgRNA_21955669.21956088_21955900_gene
CDKN2B	sgRNA_21959853.21960015_21959885_gene
p16.dialup	sgRNA_21959853.21960015_21959885_gene
p14.dialup	sgRNA_21959853.21960015_21959885_gene
CDKN2B	sgRNA_21959853.21960015_21959896_gene
p16.dialup	sgRNA_21959853.21960015_21959896_gene
p14.dialup	sgRNA_21959853.21960015_21959896_gene
CDKN2B	sgRNA_21959853.21960015_21959900_gene
p16.dialup	sgRNA_21959853.21960015_21959900_gene
p14.dialup	sgRNA_21959853.21960015_21959900_gene
CDKN2B	sgRNA_21959853.21960015_21959967_gene
p16.dialup	sgRNA_21959853.21960015_21959967_gene
p14.dialup	sgRNA_21959853.21960015_21959967_gene
CDKN2B	sgRNA_21961653.21961902_21961728_gene
p16.dialup	sgRNA_21961653.21961902_21961728_gene
p14.dialup	sgRNA_21961653.21961902_21961728_gene
CDKN2B	sgRNA_21961653.21961902_21961752_gene
p16.dialup	sgRNA_21961653.21961902_21961752_gene
p14.dialup	sgRNA_21961653.21961902_21961752_gene
CDKN2B	sgRNA_21961653.21961902_21961759_gene
p16.dialup	sgRNA_21961653.21961902_21961759_gene
p14.dialup	sgRNA_21961653.21961902_21961759_gene
CDKN2B	sgRNA_21961653.21961902_21961817_gene
p16.dialup	sgRNA_21961653.21961902_21961817_gene
p14.dialup	sgRNA_21961653.21961902_21961817_gene
